Code HS6,Label HS6,HHi Européen,HHi Mondial,HHi Français,Part UE Contrôle financier,Part UE Contrôle opérationel,Taux de couverture Exportations/Importations,Taux de couverture de transit (Transit/Importations),Taux de couverture Exportations/Importations françaises,HHI Contrôle financier,HHI Contrôle opérationel,Code ISIC,Label ISIC,Code HS6 2017,Label HS6 2017,Nom Trendeo,Code HS4,Label HS4,Importations,Exportations,Valeur des flux transitant dans l'UE,Importations françaises,Exportations françaises,Valeur des échanges mondiaux,Quantités importées,Quantités exportées,Quantités transitant dans l'UE,Quantités importées en France,Quantité exportées en France,Quantités totales échangées,Premier exporateur vers l'UE,Premier exportateur mondial,Deuxième exporateur vers l'UE,Deuxième exportateur mondial,Troisième exporateur vers l'UE,Troisième exportateur mondial,Quatrième exporateur vers l'UE,Quatrième exportateur mondial,Cinquième exporateur vers l'UE,Cinquième exportateur mondial,Part du premier exportateur vers l'UE,Part du premier exportateur mondial,Part du deuxième exportateur vers l'UE,Part du deuxième exportateur mondial,Part du troisième exportateur vers l'UE,Part du troisième exportateur mondial,Part du quatrième exportateur vers l'UE,Part du quatrième exportateur mondial,Part du cinquième exportateur vers l'UE,Part du cinquième exportateur mondial
200912,"Jus d'orange, non fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix <= 20 à 20°C (à l'excl. des jus congelés)",0.7668758866371023,0.5629054057380452,0.2489109536229519,0.22144377396295212,0.0,0.472800681137518,1.581338014656955,0.135750413907537,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200912,"Juice: orange, not frozen, of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",537808.578,254276.262,850457.149,262474.08,35630.965,2664215.204,833629.1440000001,187864.358,646469.554,233102.506,19077.792,3118725.914,Brazil,Brazil,United Kingdom,USA,Egypt,Mexico,Morocco,United Kingdom,TÃ¼rkiye,Egypt,0.8736277352571346,0.738951369084692,0.0466168224635494,0.0929350010051704,0.032193599559879,0.0873455917288801,0.0160085025642711,0.0163610220488159,0.0084716648011516,0.0121947451296727
200919,"Jus d'orange, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants (à l'excl. des jus congelés et des jus d'une valeur Brix <= 20 à 20°C)",0.6321680030191931,0.5015975893315437,0.2276106540308198,0.22144377396295212,0.0,0.1385279070712828,0.6240319072600227,0.6084387343920327,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200919,"Juice: orange, not frozen, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",766685.199,106207.296,478436.027,28141.637,17122.462,1852590.205,282300.548,34815.464,135383.712,10582.197,4710.458,678952.605,Brazil,Brazil,South Africa,South Africa,Egypt,Costa Rica,Argentina,Egypt,Israel,USA,0.7898308455541216,0.7022442506388845,0.0700721692163513,0.057382149862016,0.0454217376902824,0.0369717727654777,0.026497168624746,0.0338642246055856,0.017849272449565,0.031034919962838
200921,"Jus de pamplemousse ou de pomelo, non fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix <= 20 à 20°C",0.7720077368740538,0.3166183593936224,0.175550030498462,0.22144377396295212,0.0,0.4091114692586902,0.9358747661834458,0.2183225010328872,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200921,"Juice: grapefruit (including pomelo), of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",34488.576,14109.672,32276.988,15526.865,3389.864,108287.295,30959.623,10259.699,25098.916,12447.5,1917.594,83638.476,Israel,Israel,Mexico,Mexico,South Africa,USA,United Kingdom,South Africa,Brazil,Rep. of Korea,0.8761747948074168,0.5195838944140072,0.0444472975631119,0.1572555435012904,0.040951792268837,0.1336265774979529,0.0253225299879009,0.0381871849941442,0.0035427673209818,0.0279269509916982
200929,"Jus de pamplemousse ou de pomelo, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix > 20 à 20°C",0.4561296850587262,0.2790725143846104,0.2044756503864977,0.22144377396295212,0.0,0.1871737517667021,0.5063132450648696,0.22675708305478,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200929,"Juice: grapefruit (including pomelo), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",41102.713,7693.349,20810.848,3845.763,872.054,189707.522,16262.947,3529.623,7449.509999999999,1503.912,272.46500000000003,74895.762,South Africa,Israel,Israel,South Africa,Mexico,Mexico,Argentina,USA,Paraguay,Viet Nam,0.6391729421851059,0.4198292808166333,0.2065331551228747,0.3025626673643363,0.0589796834092192,0.071072386379127,0.0220744552798741,0.0657234272307968,0.0203666847976677,0.0305559019951976
200931,"Jus d'agrumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix <= 20 à 20°C (à l'excl. des mélanges, des jus d'orange, de pamplemousse ou de pomelo)",0.140210651358539,0.1079974387889438,0.3450791111485296,0.22144377396295212,0.0,4.8597746421221215,7.986708961521874,0.0916421603717168,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200931,"Juice: of single citrus fruit (excluding orange or grapefruit), of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",26550.747,129030.647,212053.089,83825.74100000001,7681.972000000001,570283.499,15086.303,84152.909,155141.094,55177.329,3798.684,422447.354,Japan,Mexico,Egypt,USA,Brazil,Japan,Rep. of Korea,Egypt,Mexico,Argentina,0.2777240128121442,0.2483805753324448,0.1573832178808377,0.1293686765286925,0.1383136979159193,0.0717009990974554,0.0866495771286585,0.0676734294877957,0.0602929552226911,0.0661503912637117
200939,"Jus d'agrumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix > 20 à 20°C (à l'excl. des mélanges ainsi que des jus d'orange, de pamplemousse ou de pomelo)",0.2486930666026585,0.146613747979017,0.165552074310732,0.22144377396295212,0.0,0.6925778877158912,1.0775871007469418,0.3027447086552419,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200939,"Juice: of single citrus fruit (excluding orange or grapefruit), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",110342.079,76420.484,118903.201,23379.312,7077.963,595253.107,66514.99200000001,27012.117,46211.949,11173.257,2738.869,289335.243,Argentina,Argentina,Pakistan,Israel,South Africa,South Africa,Brazil,Brazil,TÃ¼rkiye,Mexico,0.4276977507375042,0.3283800285141312,0.17789864191339,0.1003341959672074,0.1446416013241875,0.0881975820223599,0.0932381199741578,0.077917805707228,0.0545143616516415,0.0650198299238909
200941,"Jus d'ananas, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix <= 20 à 20°C",0.7017521172688017,0.34317898292555,0.2624878893860092,0.22144377396295212,0.0,0.3828426608524454,0.9864992089604896,0.1880056806371759,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200941,"Juice: pineapple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",77900.028,29823.454,76848.316,31285.927,5881.932000000001,298004.477,110358.95399999998,26187.729,70735.786,27822.306,3607.935,321656.381,Costa Rica,Costa Rica,Philippines,Philippines,Togo,Guatemala,CÃ´te d'Ivoire,Honduras,Guatemala,Benin,0.8339446553215616,0.5403136746505134,0.0715146983002368,0.2173078280860783,0.0264899391307022,0.0410165680664309,0.0120545527916883,0.0237384662100662,0.010555182342168,0.0220025789945051
200949,"Jus d'ananas, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix > 20 à 20°C",0.1733541519935225,0.1426069172708462,0.3005691100535332,0.22144377396295212,0.0,0.1954561476664042,0.4520228462114364,0.1800923326202412,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200949,"Juice: pineapple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",168531.225,32940.464,76179.96399999999,18365.557,3307.496,505828.888,80579.834,14817.038,29438.947,6799.1140000000005,1129.61,250304.349,Thailand,Thailand,Costa Rica,Costa Rica,South Africa,Indonesia,Indonesia,South Africa,Kenya,Philippines,0.2919591488164879,0.2386270234821813,0.2300659892551068,0.2130715110033196,0.115992534914524,0.1119689456584817,0.100266636049195,0.1112333601355514,0.065197312842175,0.0966586495281698
200950,"Jus de tomate, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",0.328133487893793,0.0877115031902977,0.2797074961681535,0.22144377396295212,0.0,5.448823110745008,9.231029051009973,0.5510050496790765,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200950,"Juice: tomato, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",2767.8900000000003,15081.743,25550.473,2977.813,1640.79,68354.449,2042.714,15802.57,30783.338,2860.43,1316.799,69619.623,United Kingdom,USA,Ukraine,Canada,Rep. of Moldova,United Kingdom,Switzerland,China,Serbia,Mexico,0.5467977412397169,0.2067046691368621,0.109312508806347,0.1079628758621284,0.0872065002583195,0.0905227223218274,0.070250985407657,0.084884468000828,0.0472558519305319,0.0679206830128005
200961,"Jus de raisin - y.c. les moûts de raisin -, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants, d'une valeur Brix <= 30 à 20°C",0.239594768582298,0.1496941362660781,0.3610566985611468,0.22144377396295212,0.0,16.650338944752008,50.393363138951216,0.8488242932592535,0.15642630017660422,0.11981829361475804,103,Processing and preserving of fruit and vegetables,200961,"Juice: grape, of a Brix value not exceeding 30, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter",Traitement et conservation de fruits et légumes,2009,"Jus de fruits - y.c. les moûts de raisins - ou de légumes, non-fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants",2478.28,41264.202,124888.864,14316.069999999998,12151.828,226542.405,2130.155,35601.363,208533.849,22426.456,21863.118,285712.541,Australia,USA,Chile,South Africa,Israel,Australia,USA,Canada,TÃ¼rkiye,Argentina,0.3349871685201026,0.2434523749299524,0.3340708071727166,0.2232122957994291,0.0855076908178252,0.144314412846943,0.051708039446713,0.0896263660047678,0.0439909937537324,0.081476930886758
